tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
32069014001p9;32069014001p9;2002.0;"sample; nuclear; material; process; test; system; work; water; method; use; high; radiation; different; cell; reactor; treatment; dose; technique; analysis; value; order; concentration; surface; type; property; other; iron; development; fuel; condition";12;4;32069014001p9;engenharias ii;centro de desenvolvimento da tecnologia nuclear;belo horizonte;ciência e tecnologia das radiações, minerais e materiais;sudeste;178.0;cdtn;mg;"selenium; vial; manipulator; breast; microsphere; mwcnt; aptamer; stm; mo; metformin; h2s; epd; 99mtc; neutron; repository; fes; extrapolation; seed; 210pb; uncertainty; phantom; flotation; hf; licensing; zr; plate; fuel element; spacer; reactivity; extractant"
33001014001p0;33001014001p0;1976.0;"education; school; research; teacher; process; teaching; analysis; educational; practice; student; knowledge; work; datum; training; social; development; field; child; public; learning; course; policy; professional; state; relation; context; other; university; question; activity";38;5;33001014001p0;educação;universidade federal de são carlos;são carlos;educação;sudeste;445.0;ufscar;sp;"mentor; religiousness; ethnomathematic; modeling; punk; aged; baby; labor law; cancer; elderly; study situation; physics; healthcare; prison; gramsci; violence; black; terena; intelligence; sda; accounting; street; prostitution; enlightenment; honduras; medium; masculinity; qualitative nature; indigenous; countryside"
32001010017p0;32001010017p0;1971.0;"steel; process; sample; test; ore; material; temperature; iron; property; mechanical; flotation; model; size; high; work; analysis; mineral; different; surface; phase; value; condition; system; concentration; content; effect; addition; strength; order; iron ore";12;6;32001010017p0;engenharias ii;universidade federal de minas gerais;belo horizonte;engenharia metalúrgica e de minas;sudeste;280.0;ufmg;mg;"arsenic; ball; quartzite; slag; microcapsule; wollastonite; roll; vesicle; quenching; liberation; reagent; slime; bevacizumab; ra; wire; strip; ssc; itabirite; sorghum; char; bioactive glass; hydrogel; briquette; cleanliness; tig; pellet; flotation; mortar; granulation; austenite"
42001013044p6;42001013044p6;1987.0;"music; musical; research; performance; student; process; work; education; teacher; practice; school; professional; analysis; composition; teaching; datum; piano; different; interview; piece; recording; experience; instrument; composer; musician; participant; group; other; music education; concept";11;7;42001013044p6;artes;universidade federal do rio grande do sul;porto alegre;música;sul;133.0;ufrgs;rs;"fingering; deprivation; columbian; haitian; festivals; dystonia; armorial; evangelical; professionality; jobim; professional development; gesture; quotation; genetic; privation; suite; piano; texture; sonic; church; funk; socialization; graduate; hymn; music teacher; postgraduate; emotion; efficacy; feedback; aural"
53001010096p0;53001010096p0;2012.0;"cell; nanoparticle; treatment; cancer; magnetic; potential; effect; therapy; concentration; nm; pdt; nanoemulsion; synthesis; tumor; sample; breast; agnps; drug; analysis; activity; system; microscopy; spectroscopy; oil; breast cancer; diameter; oxide; surface; acid; application";45;4;53001010096p0;interdisciplinar;universidade de brasília;brasília;nanociência e nanobiotecnologia;centro-oeste;69.0;unb;df;"agnps; epi; ps; sers; dox; aunps; colloidal dispersion; ne; babassu; phthalocyanines; nail; nickel oxide; nanostructure; pdt; epichlorohydrin; fsh; ala; nanoformulation; ecr; ma; citrate; film; nanoparticle; nanoemulsion; colloidal; liposome; copaiba; cheilitis; actinic cheilitis; iron oxide"
53001010035p1;53001010035p1;1990.0;"social; policy; state; work; public; research; assistance; right; social assistance; analysis; federal; security; brazilian; process; system; labor; action; health; brazil; social security; political; social policy; society; woman; national; education; worker; government; program; context";32;6;53001010035p1;serviço social;universidade de brasília;brasília;política social;centro-oeste;106.0;unb;df;"pnaic; disability; enade; cne; canada; activation; agrarian; deinstitutionalization; social security; monetary; international organizations; developmentalism; reparation; security measure; triage; urban; mining; school; domestic; financing; prison; federal district; permanent education; cup; social network; r&d; pb; security; ppa; girl"
32008015015p2;32008015015p2;2007.0;"research; knowledge; analysis; process; management; business; model; social; relationship; work; datum; company; practice; theoretical; relation; development; interview; case; organization; market; value; literature; network; consumption; consumer; organizational; approach; context; other; woman";27;5;32008015015p2;administração pública e de empresas, ciências contábeis e turismo;pontifícia universidade católica de minas gerais;belo horizonte;administração;sudeste;127.0;puc/mg;mg;"career; counterfeit; good teacher; csa; follower; cop; apac; leisure; interdependence; supported; film; funk; pornography; superintendent; rural; professionalization; luxury; succession; temporal relation; trust; empowerment; gift; capital structure; social management; materialism; business model; stigma; agglomeration; fashion; love"
33024014029p4;33024014029p4;2016.0;"business; company; market; development; model; opportunity; value; new; work; business model; management; marketing; service; project; innovation; creation; other; decision; potential; process; action; proposal; new business; platform; way; enterprise; technology; strategic; year; digital";27;3;33024014029p4;administração pública e de empresas, ciências contábeis e turismo;universidade presbiteriana mackenzie;são paulo;administração do desenvolvimento de negócios;sudeste;13.0;upm;sp;"seed; digital marketing; target market; ornamental; dentistry; shopping; marketing; logistic; circular economy; logistic service; value creation; landowner; circular; suzano; waste; digital; estate development; business development; apartment; business model; educational; studio; entrepreneurial; project; engineering project; cooperative; target; incremental innovation; flower; civil engineering"
32011016015p0;32011016015p0;2015.0;"education; school; research; student; teacher; process; educational; analysis; social; work; text; practice; pedagogical; cultural; learning; space; way; teaching; element; datum; meaning; development; curriculum; other; reading; subject; literacy; activity; inclusive; participation";38;3;32011016015p0;educação;universidade federal de alfenas;alfenas;educação;sudeste;39.0;unifal;mg;"skepticism; williams; collaborative writing; medical; social educational; library; sea; historical content; social sciences; musical; literary; psychology; masculinity; inclusive; jesuit; autonomy; ideological; humanity; raymond williams; computational thinking; literacy; digital; adolescent; raymond; in brazil; dialogic; physical education; philosophical; fictional text; classic"
27001016016p0;27001016016p0;2008.0;"oil; compound; fruit; acid; activity; antioxidant; extract; analysis; pulp; product; content; phenolic; value; cheese; method; extraction; concentration; process; sample; total; higher; stability; water; effect; residue; parameter; anthocyanin; sensory; juice; aroma";25;3;27001016016p0;ciência de alimentos;fundação universidade federal de sergipe;são cristóvão;ciência e tecnologia de alimentos;nordeste;74.0;fufse;se;"pes; cookie; coffee; juice; jelly; hibiscus; ice; acidification; lipase; ice cream; umbu; acerola; mangaba; açaí; cheese; pcm; tomato; tamarind; oil; gracilis; cream; sweet potato; anthocyanin; yam; mango; haccp; passion; butter; biocatalyst; lyophilized"
33017018008p4;33017018008p4;2005.0;"research; company; organizational; management; work; organization; analysis; education; datum; development; knowledge; factor; process; model; professional; social; student; practice; relationship; other; market; order; são; influence; information; individual; variable; people; interview; business";27;3;33017018008p4;administração pública e de empresas, ciências contábeis e turismo;universidade metodista de são paulo;são bernardo do campo;administração;sudeste;108.0;umesp;sp;"coaching; spirituality; insurance; exhaustion; strategist; ocb; ise; virtual library; desertion; clearance; fast food; collaborative consumption; compatibility; diversity; emotional intelligence; monetary; financial decision; extension; methodist; identity; luxury; earning management; climate; personal datum; entrepreneurship education; informal economy; invasion; psychological capital; addiction; creativity"
31034012001p9;31034012001p9;1999.0;"company; model; management; process; research; market; business; organization; analysis; brazilian; innovation; performance; work; decision; financial; main; factor; case; risk; brazil; organizational; datum; value; other; project; knowledge; new; service; strategy; development";27;4;31034012001p9;administração pública e de empresas, ciências contábeis e turismo;faculdade de economia e finanças do ibmec;rio de janeiro;administração;sudeste;252.0;ibmec;rj;"crowdfunding; coaching; bi; luxury; museum; project risk; cm; lease; private equity; telecommunications; trainee; work ability; digital; sigma; acap; doping; internationalization; it service; dividend; hr; ambition; dental; international market; neutrality; technology transfer; natural gas; ito; fitness; sourcing; internal communication"
40002012003p9;40002012003p9;1976.0;"content; acid; activity; day; sample; coffee; total; product; antioxidant; water; meat; time; protein; beverage; effect; compound; sugar; method; production; storage; fermentation; value; condition; lipid; ph; color; treatment; higher; property; soybean";25;4;40002012003p9;ciência de alimentos;universidade estadual de londrina;londrina;ciências de alimentos;sul;127.0;uel;pr;"camu; honey; mate; vinegar; wb; pse; coffee; peanut; niv; fcm; cmc; germination; ws; myopathy; turkey; lemongrass; baked; egg; tray; don; moringa; beef; meat; jaboticaba; soybean; isoflavone; wooden; lactose; mda; zeolite"
